Title,Year,Certificate,Rating
Ready Player One,2023.0,UA,7.4
Moonfall,2023.0,UA,5.1
Gran Turismo,2023.0,PG-13,7.1
Fast X,2023.0,UA,5.8
Bloodline Killer,2023.0,none,4.9
Sen to Chihiro no kamikakushi,2023.0,U,8.6
Cuando acecha la maldad,2023.0,none,7.0
300,2023.0,A,7.6
Spider-Man,2023.0,U,7.4
Blade Runner,2023.0,UA,8.1
Fabbricante di lacrime,2023.0,none,5.1
The Lobster,2023.0,R,7.1
Secrets of the Neanderthals,2023.0,none,6.4
Girl in the Basement,2023.0,none,6.3
Red Eye,2023.0,U,6.5
Romeo + Juliet,2024.0,UA,6.7
Transformers: Rise of the Beasts,2024.0,UA,6.0
The Flash,2024.0,UA,6.7
Eyes Wide Shut,2024.0,18,7.5
Stand by Me,2024.0,U,8.1
The Killer,2024.0,R,6.7
Trolls Band Together,2024.0,PG,6.0
Mothers' Instinct,2024.0,none,6.5
Memento,2024.0,UA,8.4
La passion de Dodin Bouffant,2024.0,PG-13,7.5
The Help,2024.0,UA,8.1
Cidade de Deus,2024.0,A,8.6
May December,2024.0,A,6.8
Snatch,2024.0,UA,8.2
The Suicide Squad,2024.0,A,7.2
Happy Gilmore,2024.0,PG-13,7.0
Indiana Jones and the Dial of Destiny,2024.0,UA,6.5
Bram Stoker's Dracula,2024.0,UA,7.4
Transformers,2024.0,UA,7.0
Once Upon a Time in America,2024.0,A,8.3
Les trois mousquetaires : Milady,2024.0,none,6.5
La sociedad de la nieve,2024.0,R,7.8
Aku wa sonzai shinai,2024.0,none,7.1
Scarface,2024.0,A,8.3
Priscilla,2024.0,R,6.5
Hidden Figures,2024.0,UA,7.8
The Great Gatsby,2024.0,A,7.2
Wildcat,2024.0,none,6.1
Drive-Away Dolls,2024.0,R,5.5
The Passion of the Christ,2024.0,A,7.2
Sei nell'anima,2024.0,none,6.4
Terminator 2: Judgment Day,2024.0,A,8.6
Aavesham,2024.0,none,8.0
The Little Things,2024.0,A,6.3
The Equalizer 2,2024.0,UA,6.7
Jaws,2024.0,A,8.1
The Nice Guys,2024.0,18,7.4
The Lost Boys,2024.0,UA,7.2
