movie_id,actor_id
1003,333
1004,635
1005,636
1006,178
1007,320
1008,637
1009,634
1010,638
1011,32
1012,262
1013,639
1014,375
1015,517
1016,177
1017,640
1018,32
1019,78
1020,641
1021,642
1022,643
1023,106
1024,167
1025,320
1026,350
1027,644
1028,645
1029,646
1030,647
1031,648
1032,649
1033,650
1034,564
1035,651
1036,652
1037,90
1038,653
1039,654
1040,376
1041,655
1042,71
1043,37
1044,656
1045,161
1046,657
1047,658
1048,659
1049,660
1050,82
1051,32
1052,13
1053,279
1054,661
1055,615
1056,662
1057,663
1058,664
1059,273
1060,665
1061,666
1062,54
1063,667
1064,307
1065,15
1066,668
1067,669
1068,670
1069,671
1070,672
1071,37
1072,669
1073,152
1074,516
1075,673
1076,674
1077,675
1078,546
1079,676
1080,115
1081,43
1082,677
1083,397
1084,576
1085,678
1086,559
1087,679
1088,13
1089,680
1090,393
1091,681
1092,682
1093,683
1094,684
1095,685
1096,686
1097,671
1098,226
1099,308
1100,361
1101,687
1102,688
1103,149
1104,689
1105,690
1106,691
1107,692
1108,298
1109,693
1110,312
1111,694
1112,680
1113,695
1114,696
1115,78
1116,697
1117,698
1118,696
1119,25
1120,9
1121,101
1122,699
1123,700
1124,142
1125,701
1126,379
1127,702
1128,703
1129,142
1130,704
1131,124
1132,1
1133,196
1134,437
1135,177
1136,210
1137,705
1138,201
1139,186
1140,706
1141,707
1142,215
1143,708
1144,709
1145,87
1146,710
1147,194
1148,711
1149,178
1150,512
1151,712
1152,713
1153,714
1154,715
1155,437
1156,716
1157,140
1158,717
1159,718
1160,719
1161,215
1162,483
1163,720
1164,375
1165,172
1166,721
1167,442
1168,722
1169,319
1170,339
1171,121
1172,371
1173,718
1174,723
1175,106
1176,724
1177,172
1178,704
1179,725
1180,726
1181,352
1182,93
1183,727
1184,728
1185,244
1186,729
1187,225
1188,321
1189,730
1190,283
1191,371
1192,206
1193,37
1194,731
1195,68
1196,680
1197,708
1198,526
1199,166
1200,61
1201,732
1202,37
1203,733
1204,106
1205,538
1206,242
1207,734
1208,310
1209,115
1210,735
1211,27
1212,512
1213,379
1214,736
1215,469
1216,737
1217,738
1218,78
1219,576
1220,739
1221,740
1222,321
1223,101
1224,174
1225,741
1226,716
1227,181
1228,680
1229,742
1230,743
1231,744
1232,745
1233,746
1234,71
1235,747
1236,748
1237,749
1238,750
1239,751
1240,752
1241,595
1242,554
1243,753
1244,177
1245,754
1246,647
1247,87
1248,755
1249,587
1250,756
1251,328
1252,119
1253,757
1254,758
1255,37
1256,759
1257,760
1258,1
1259,273
1260,52
1261,761
1262,633
1263,371
1264,762
1265,361
1266,763
1267,764
1268,765
1269,426
1270,85
1271,766
1272,767
1273,357
1274,768
1275,734
1276,769
1277,770
1278,669
1279,771
1280,515
1281,772
1282,107
1283,98
1284,98
1285,582
1286,718
1287,773
1288,98
1289,15
1290,90
1291,36
1292,175
1293,440
1294,774
1295,376
1296,775
1297,739
1298,151
1299,776
1300,777
1301,778
1302,215
1303,115
1304,163
1305,779
1306,181
1307,780
1308,549
1309,202
1310,287
1311,131
1312,781
1313,48
1314,36
1315,101
1316,326
1317,782
1318,783
1319,784
1320,451
1321,290
1322,785
1323,339
1324,772
1325,320
1326,786
1327,787
1328,788
1329,789
1330,393
1331,790
1332,791
1333,78
1334,792
1335,276
1336,793
1337,794
1338,795
1339,796
1340,797
1341,798
1342,799
1343,800
1344,121
1345,801
1346,273
1347,802
1348,309
1349,242
1350,63
1351,312
1352,63
1353,52
1354,803
1355,804
1356,51
1357,547
1358,98
1359,805
1360,806
1361,807
1362,115
1363,808
1364,78
1365,809
1366,119
1367,810
1368,811
1369,87
1370,812
1371,813
1372,814
1373,306
1374,167
1375,815
1376,242
1377,634
1378,816
1379,817
1380,818
1381,15
1382,9
1383,320
1384,182
1385,98
1386,654
1387,32
1388,160
1389,819
1390,820
1391,252
1392,751
1393,821
1394,426
1395,375
1396,42
1397,822
1398,512
1399,823
1400,824
1401,825
1402,826
1403,827
1404,671
1405,320
1406,828
1407,525
1408,362
1409,829
1410,42
1411,830
1412,164
1413,831
1414,106
1415,832
1416,833
1417,93
1418,194
1419,331
1420,375
1421,834
1422,835
1423,836
1424,837
1425,42
1426,838
1427,839
1428,212
1429,840
1430,841
1431,842
1432,32
1433,78
1434,269
1435,21
1436,548
1437,174
1438,201
1439,306
1440,538
1441,843
1442,121
1443,310
1444,844
1445,87
1446,845
1447,846
1448,847
1449,37
1450,760
1451,289
1452,848
1453,119
1454,849
1455,706
1456,114
1457,850
1458,423
1459,172
1460,851
1461,852
1462,853
1463,854
1464,855
1465,856
1466,857
1467,858
1468,184
1469,477
1470,761
1471,859
1472,860
1473,861
1474,862
1475,370
1476,539
1477,863
1478,864
1479,833
1480,638
1481,865
1482,352
1483,215
1484,866
1485,867
1486,174
1487,868
1488,8
